denominator_id,denominator_name,denominator_table_name,outcome_id,outcome_name,outcome_table_name,time_at_risk
1,all_population,all_population,1,asthma,chronic_cohorts,NA
1,all_population,all_population,2,atrial_fibrillation,chronic_cohorts,NA
1,all_population,all_population,3,breastcancer,chronic_cohorts,NA
1,all_population,all_population,4,colorectalcancer,chronic_cohorts,NA
1,all_population,all_population,5,dementia,chronic_cohorts,NA
1,all_population,all_population,6,hypertension,chronic_cohorts,NA
1,all_population,all_population,7,hypohyroidism,chronic_cohorts,NA
1,all_population,all_population,8,ibd,chronic_cohorts,NA
1,all_population,all_population,9,longcovid_code,chronic_cohorts,NA
1,all_population,all_population,10,osteoporosis,chronic_cohorts,NA
1,all_population,all_population,11,rheumatoidarthritis,chronic_cohorts,NA
1,all_population,all_population,12,systemiclupus,chronic_cohorts,NA
1,all_population,all_population,1,covid_infection,acute_cohorts,NA
1,all_population,all_population,2,influenza,acute_cohorts,NA
1,all_population,all_population,1,deep_vein_thrombosis,pasc_cohorts,NA
1,all_population,all_population,2,haemorrhagic_stroke,pasc_cohorts,NA
1,all_population,all_population,3,heart_failure,pasc_cohorts,NA
1,all_population,all_population,4,ischemic_stroke,pasc_cohorts,NA
1,all_population,all_population,5,myocardial_infarction,pasc_cohorts,NA
1,all_population,all_population,6,myocarditis_pericarditis,pasc_cohorts,NA
1,all_population,all_population,7,pulmonary_embolism,pasc_cohorts,NA
1,all_population,all_population,8,transient_ischemic_attack,pasc_cohorts,NA
1,all_population,all_population,9,venous_thrombosembolism,pasc_cohorts,NA
1,all_population,all_population,10,ventricular_arrhythmia_cardiac_arrest,pasc_cohorts,NA
1,all_population,all_population,1,long_covid_one_symptom,overlap_cohorts,NA
1,all_population,all_population,2,long_covid_two_symptoms,overlap_cohorts,NA
1,all_population,all_population,3,long_covid_three_symptoms,overlap_cohorts,NA
1,all_population,all_population,4,pasc_one_symptom,overlap_cohorts,NA
1,all_population,all_population,5,pasc_two_symptoms,overlap_cohorts,NA
1,all_population,all_population,6,pasc_three_symptoms,overlap_cohorts,NA
1,all_population,all_population,1,er_and_admissions,hu_cohorts,NA
1,all_population,all_population,2,outpatient_visits,hu_cohorts,NA
