atlasId,atlasName,cohortId,cohortName,table_name
1,[CHAPTER],1,atopic_dermatitis,allergy_cohorts
1,[CHAPTER],2,anaphylaxis,allergy_cohorts
1,[CHAPTER],3,allergic_rhinitis,allergy_cohorts
1,[CHAPTER],4,food_allergy,allergy_cohorts
1,[CHAPTER],1,breastcancer_1yd,cancer_cohorts
1,[CHAPTER],2,breastcancer_2yd,cancer_cohorts
1,[CHAPTER],3,breastcancer_3yd,cancer_cohorts
1,[CHAPTER],4,breastcancer,cancer_cohorts
1,[CHAPTER],5,colorectalcancer_1yd,cancer_cohorts
1,[CHAPTER],6,colorectalcancer_2yd,cancer_cohorts
1,[CHAPTER],7,colorectalcancer_3yd,cancer_cohorts
1,[CHAPTER],8,colorectalcancer,cancer_cohorts
1,[CHAPTER],9,livercancer_1yd,cancer_cohorts
1,[CHAPTER],10,livercancer_2yd,cancer_cohorts
1,[CHAPTER],11,livercancer_3yd,cancer_cohorts
1,[CHAPTER],12,livercancer,cancer_cohorts
1,[CHAPTER],13,lungcancer_1yd,cancer_cohorts
1,[CHAPTER],14,lungcancer_2yd,cancer_cohorts
1,[CHAPTER],15,lungcancer_3yd,cancer_cohorts
1,[CHAPTER],16,lungcancer,cancer_cohorts
1,[CHAPTER],17,pancreascancer_1yd,cancer_cohorts
1,[CHAPTER],18,pancreascancer_2yd,cancer_cohorts
1,[CHAPTER],19,pancreascancer_3yd,cancer_cohorts
1,[CHAPTER],20,pancreascancer,cancer_cohorts
1,[CHAPTER],21,prostatecancer_1yd,cancer_cohorts
1,[CHAPTER],22,prostatecancer_2yd,cancer_cohorts
1,[CHAPTER],23,prostatecancer_3yd,cancer_cohorts
1,[CHAPTER],24,prostatecancer,cancer_cohorts
1,[CHAPTER],25,stomachcancer_1yd,cancer_cohorts
1,[CHAPTER],26,stomachcancer_2yd,cancer_cohorts
1,[CHAPTER],27,stomachcancer_3yd,cancer_cohorts
1,[CHAPTER],28,stomachcancer,cancer_cohorts
1,[CHAPTER],1,afib_1yd,pulmo_cohorts
1,[CHAPTER],2,afib_2yd,cardio_cohorts
1,[CHAPTER],3,afib_3yd,cardio_cohorts
1,[CHAPTER],4,afib,cardio_cohorts
1,[CHAPTER],5,ami_1md,cardio_cohorts
1,[CHAPTER],6,ami_1yd,cardio_cohorts
1,[CHAPTER],7,ami_2yd,cardio_cohorts
1,[CHAPTER],8,ami_3md,cardio_cohorts
1,[CHAPTER],9,ami_3yd,cardio_cohorts
1,[CHAPTER],10,ami,cardio_cohorts
1,[CHAPTER],11,as_1yd,cardio_cohorts
1,[CHAPTER],12,as_2yd,cardio_cohorts
1,[CHAPTER],13,as_3yd,cardio_cohorts
1,[CHAPTER],14,as,cardio_cohorts
1,[CHAPTER],15,hf_1yd,cardio_cohorts
1,[CHAPTER],16,hf_2yd,cardio_cohorts
1,[CHAPTER],17,hf_3yd,cardio_cohorts
1,[CHAPTER],18,hf,cardio_cohorts
1,[CHAPTER],19,hypertension_1yd,cardio_cohorts
1,[CHAPTER],20,hypertension_2yd,cardio_cohorts
1,[CHAPTER],21,hypertension_3yd,cardio_cohorts
1,[CHAPTER],22,hypertension,cardio_cohorts
1,[CHAPTER],23,stroke_1md,cardio_cohorts
1,[CHAPTER],24,stroke_1yd,cardio_cohorts
1,[CHAPTER],25,stroke_2yd,cardio_cohorts
1,[CHAPTER],26,stroke_3md,cardio_cohorts
1,[CHAPTER],27,stroke_3yd,cardio_cohorts
1,[CHAPTER],28,stroke,cardio_cohorts
1,[CHAPTER],1,mortality,general_cohorts
1,[CHAPTER],2,inpatient_visit,general_cohorts
1,[CHAPTER],3,outpatient_visit,general_cohorts
1,[CHAPTER],1,asthma_1yd,pulmo_cohorts
1,[CHAPTER],2,asthma_2yd,pulmo_cohorts
1,[CHAPTER],3,asthma_3yd,pulmo_cohorts
1,[CHAPTER],4,asthma,pulmo_cohorts
1,[CHAPTER],5,copd_1yd,pulmo_cohorts
1,[CHAPTER],6,copd_2yd,pulmo_cohorts
1,[CHAPTER],7,copd_3yd,pulmo_cohorts
1,[CHAPTER],8,copd,pulmo_cohorts
1,[CHAPTER],9,ild_1yd,pulmo_cohorts
1,[CHAPTER],10,ild_2yd,pulmo_cohorts
1,[CHAPTER],11,ild_3yd,pulmo_cohorts
1,[CHAPTER],12,ild,pulmo_cohorts
